Fecha,CO,Temp Ext
12/02/18,1.099,15.6
12/02/18,0.657,23.4
12/02/18,1.25,17.5
12/02/18,0.866,21.2
12/02/18,1.358,19.3
13/02/18,0.181,25.8
13/02/18,0.292,22.1
13/02/18,0.197,27
13/02/18,0.206,27.1
13/02/18,0.191,26.6
13/02/18,0.218,24.6
13/02/18,0.277,27.3
13/02/18,0.351,19.5
13/02/18,0.378,20.2
13/02/18,0.413,23
13/02/18,0.405,18.2
13/02/18,0.368,18.8
13/02/18,0.477,26.5
13/02/18,0.579,17.8
13/02/18,0.732,17.4
13/02/18,0.499,23.3
13/02/18,1.169,17.2
13/02/18,0.593,22.7
13/02/18,2.374,16.7
13/02/18,2.503,17.6
13/02/18,0.718,23.9
13/02/18,0.828,25.1
13/02/18,1.266,21.1
13/02/18,2.13,19.1
14/02/18,0.228,17.6
14/02/18,0.219,19
14/02/18,0.209,18.4
14/02/18,0.235,20.8
14/02/18,0.258,17.2
14/02/18,0.239,19.8
14/02/18,0.239,21.8
14/02/18,0.323,17.1
14/02/18,0.26,20.3
14/02/18,0.222,23.3
14/02/18,0.289,27.4
14/02/18,0.289,27.3
14/02/18,0.273,26.7
14/02/18,0.43,18.7
14/02/18,0.301,25.9
14/02/18,0.282,24.8
14/02/18,0.362,26.9
14/02/18,0.752,17.6
14/02/18,0.645,17
14/02/18,0.438,22.6
14/02/18,0.645,23
14/02/18,0.681,25.8
14/02/18,0.694,24.4
14/02/18,0.752,23.6
15/02/18,0.223,19.7
15/02/18,0.24,21.3
15/02/18,0.23,20.2
15/02/18,0.247,21.8
15/02/18,0.175,29.2
15/02/18,0.203,29.4
15/02/18,0.15,28.8
15/02/18,0.237,24.2
15/02/18,0.273,19.4
15/02/18,0.196,27.9
15/02/18,0.224,23.6
15/02/18,0.298,28.5
15/02/18,0.309,24.8
15/02/18,0.277,26.7
15/02/18,0.306,25.1
15/02/18,0.327,22.2
15/02/18,0.383,23.9
15/02/18,0.404,25.7
15/02/18,0.351,19
